127.0.0.1 - - [15/Mar/2022:20:14:53 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:14:54 +0530] "GET /Spring-jdbc01/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:14:54 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:15:03 +0530] "GET /Spring-jdbc01/layout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:15:03 +0530] "GET /Spring-jdbc01/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:15:03 +0530] "GET /Spring-jdbc01/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:15:03 +0530] "GET /Spring-jdbc01/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:15:03 +0530] "GET /Spring-jdbc01/menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:15:07 +0530] "GET /Spring-jdbc01/admindisplay.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2022:20:15:15 +0530] "POST /Spring-jdbc01/admindisplay.do HTTP/1.1" 200 1043
